OrderID,OrderDate,CustomerID,CustomerName,Product,Category,Quantity,UnitPrice,TotalAmount,Region,SalesRep
1001,2024-01-05,C001,Acme Corporation,Laptop Pro 15,Electronics,2,1299.99,2599.98,North,Sarah Johnson
1002,2024-01-07,C002,TechStart Inc,Wireless Mouse,Electronics,10,29.99,299.90,South,Michael Chen
1003,2024-01-08,C003,Global Solutions,Office Chair,Furniture,5,249.99,1249.95,East,Sarah Johnson
1004,2024-01-10,C004,Innovate LLC,Standing Desk,Furniture,3,599.99,1799.97,West,David Martinez
1005,2024-01-12,C001,Acme Corporation,USB-C Hub,Electronics,15,39.99,599.85,North,Sarah Johnson
1006,2024-01-15,C005,Prime Industries,Monitor 27inch,Electronics,4,349.99,1399.96,South,Michael Chen
1007,2024-01-18,C006,Vertex Systems,Mechanical Keyboard,Electronics,8,89.99,719.92,East,Emily Rodriguez
1008,2024-01-20,C007,Apex Partners,Desk Lamp,Furniture,12,45.99,551.88,West,David Martinez
1009,2024-01-22,C008,Summit Enterprises,Laptop Stand,Electronics,6,54.99,329.94,North,Sarah Johnson
1010,2024-01-25,C009,Horizon Group,Ergonomic Mouse Pad,Electronics,20,19.99,399.80,South,Michael Chen
1011,2024-01-28,C010,Zenith Corp,File Cabinet,Furniture,2,189.99,379.98,East,Emily Rodriguez
1012,2024-02-01,C002,TechStart Inc,Webcam HD,Electronics,7,79.99,559.93,South,Michael Chen
1013,2024-02-03,C003,Global Solutions,Bookshelf,Furniture,4,129.99,519.96,East,Sarah Johnson
1014,2024-02-05,C004,Innovate LLC,Wireless Keyboard,Electronics,9,49.99,449.91,West,David Martinez
1015,2024-02-08,C011,Atlas Consulting,Desktop Computer,Electronics,1,1899.99,1899.99,North,Sarah Johnson
1016,2024-02-10,C012,Phoenix Technologies,Conference Table,Furniture,1,899.99,899.99,South,Michael Chen
1017,2024-02-12,C005,Prime Industries,Desk Organizer,Furniture,15,24.99,374.85,South,Michael Chen
1018,2024-02-15,C013,Quantum Solutions,Headphones Pro,Electronics,5,149.99,749.95,East,Emily Rodriguez
1019,2024-02-18,C006,Vertex Systems,Power Strip,Electronics,10,32.99,329.90,East,Emily Rodriguez
1020,2024-02-20,C014,Stellar Systems,Office Desk,Furniture,3,449.99,1349.97,West,David Martinez
1021,2024-02-22,C007,Apex Partners,Document Scanner,Electronics,2,199.99,399.98,West,David Martinez
1022,2024-02-25,C015,Nexus Group,Laptop Bag,Electronics,8,59.99,479.92,North,Sarah Johnson
